user_id,friend_id,is_friend,common_friends_count,demographics_sex_user,demographics_age_user,demographics_city_user,education_career_education_university_user,education_career_education_faculty_user,demographics_sex_friend,demographics_age_friend,demographics_city_friend,education_career_education_university_friend,education_career_education_faculty_friend
154151541,584995001,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Подольск,Неизвестно,Неизвестно
154151541,596357542,True,4,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Минск,Неизвестно,Неизвестно
154151541,602757527,True,2,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,26.0,Москва,Неизвестно,Неизвестно
154151541,611694763,True,7,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,21.0,Москва,Неизвестно,Неизвестно
154151541,612204821,True,9,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
154151541,626151457,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Воронеж,Неизвестно,Неизвестно
154151541,658702663,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
154151541,662741463,True,23,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,23.0,Москва,РТУ МИРЭА,Институт кибербезопасности и цифровых технологий
272517123,50391059,True,3,женский,23.0,Химки,РХТУ им. Д. И. Менделеева,Неизвестно,мужской,72.0,Москва,МГУ,Философский
272517123,143677868,True,2,женский,23.0,Химки,РХТУ им. Д. И. Менделеева,Неизвестно,женский,24.0,Москва,Неизвестно,Неизвестно
272517123,154151541,True,3,женский,23.0,Химки,РХТУ им. Д. И. Менделеева,Неизвестно,мужской,22.0,Химки,Неизвестно,Неизвестно
272517123,227234115,True,2,женский,23.0,Химки,РХТУ им. Д. И. Менделеева,Неизвестно,мужской,22.0,Москва,МГТУ им. Н. Э. Баумана (бывш. МВТУ),Неизвестно
432814093,154151541,True,11,мужской,22.0,Кизнер (поселок),Неизвестно,Неизвестно,мужской,22.0,Химки,Неизвестно,Неизвестно
432814093,191557938,True,0,мужской,22.0,Кизнер (поселок),Неизвестно,Неизвестно,мужской,22.0,Одинцово,Неизвестно,Неизвестно
432814093,254249175,True,7,мужской,22.0,Кизнер (поселок),Неизвестно,Неизвестно,мужской,21.0,Пенза,РТУ МИРЭА,Неизвестно
432814093,283576464,True,0,мужской,22.0,Кизнер (поселок),Неизвестно,Неизвестно,женский,22.0,Симферополь,Неизвестно,Неизвестно
432814093,283922767,True,0,мужской,22.0,Кизнер (поселок),Неизвестно,Неизвестно,мужской,21.0,Москва,Неизвестно,Неизвестно
432814093,350840991,True,10,мужской,22.0,Кизнер (поселок),Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
432814093,361386011,True,1,мужской,22.0,Кизнер (поселок),Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
432814093,394100799,True,8,мужской,22.0,Кизнер (поселок),Неизвестно,Неизвестно,мужской,20.0,Москва,РТУ МИРЭА,Институт информационных технологий
432814093,419168599,True,8,мужской,22.0,Кизнер (поселок),Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
432814093,548550935,True,9,мужской,22.0,Кизнер (поселок),Неизвестно,Неизвестно,мужской,20.0,Москва,РТУ МИРЭА,Институт информационных технологий
432814093,584995001,True,0,мужской,22.0,Кизнер (поселок),Неизвестно,Неизвестно,мужской,22.0,Подольск,Неизвестно,Неизвестно
432814093,611694763,True,7,мужской,22.0,Кизнер (поселок),Неизвестно,Неизвестно,мужской,21.0,Москва,Неизвестно,Неизвестно
50391059,143677868,True,2,мужской,72.0,Москва,МГУ,Философский,женский,24.0,Москва,Неизвестно,Неизвестно
50391059,154151541,True,7,мужской,72.0,Москва,МГУ,Философский,мужской,22.0,Химки,Неизвестно,Неизвестно
50391059,227234115,True,4,мужской,72.0,Москва,МГУ,Философский,мужской,22.0,Москва,МГТУ им. Н. Э. Баумана (бывш. МВТУ),Неизвестно
50391059,230631594,True,4,мужской,72.0,Москва,МГУ,Философский,мужской,22.0,Химки,Неизвестно,Неизвестно
50391059,272517123,True,3,мужской,72.0,Москва,МГУ,Философский,женский,23.0,Химки,РХТУ им. Д. И. Менделеева,Неизвестно
50391059,327733536,True,3,мужской,72.0,Москва,МГУ,Философский,женский,21.0,Москва,Неизвестно,Неизвестно
50391059,363088358,True,3,мужской,72.0,Москва,МГУ,Философский,женский,22.0,Москва,Неизвестно,Неизвестно
50391059,465363318,True,2,мужской,72.0,Москва,МГУ,Философский,мужской,22.0,Москва,Неизвестно,Неизвестно
368048152,154151541,True,2,мужской,22.0,Москва,Неизвестно,Неизвестно,мужской,22.0,Химки,Неизвестно,Неизвестно
368048152,178325795,True,1,мужской,22.0,Москва,Неизвестно,Неизвестно,мужской,22.0,Москва,РТУ МИРЭА,Неизвестно
368048152,198752426,True,1,мужской,22.0,Москва,Неизвестно,Неизвестно,женский,22.0,Toronto,Неизвестно,Неизвестно
361386011,154151541,True,1,мужской,22.0,Москва,Неизвестно,Неизвестно,мужской,22.0,Химки,Неизвестно,Неизвестно
361386011,432814093,True,1,мужской,22.0,Москва,Неизвестно,Неизвестно,мужской,22.0,Кизнер (поселок),Неизвестно,Неизвестно
387143718,154151541,True,2,мужской,22.0,Москва,Неизвестно,Неизвестно,мужской,22.0,Химки,Неизвестно,Неизвестно
387143718,227234115,True,2,мужской,22.0,Москва,Неизвестно,Неизвестно,мужской,22.0,Москва,МГТУ им. Н. Э. Баумана (бывш. МВТУ),Неизвестно
387143718,230631594,True,2,мужской,22.0,Москва,Неизвестно,Неизвестно,мужской,22.0,Химки,Неизвестно,Неизвестно
177346603,154151541,True,0,мужской,22.0,Старый Оскол,Неизвестно,Неизвестно,мужской,22.0,Химки,Неизвестно,Неизвестно
435357753,220291482,True,2,женский,22.0,Москва,РТУ МИРЭА,Институт информационных технологий,мужской,22.0,Москва,РТУ МИРЭА,Институт информационных технологий
435357753,246872239,True,0,женский,22.0,Москва,РТУ МИРЭА,Институт информационных технологий,мужской,21.0,Москва,РТУ МИРЭА,Институт информационных технологий
435357753,258814756,True,2,женский,22.0,Москва,РТУ МИРЭА,Институт информационных технологий,мужской,22.0,Москва,Неизвестно,Неизвестно
435357753,338121069,True,2,женский,22.0,Москва,РТУ МИРЭА,Институт информационных технологий,мужской,22.0,Москва,Неизвестно,Неизвестно
394100799,154151541,True,8,мужской,20.0,Москва,РТУ МИРЭА,Институт информационных технологий,мужской,22.0,Химки,Неизвестно,Неизвестно
394100799,191557938,True,0,мужской,20.0,Москва,РТУ МИРЭА,Институт информационных технологий,мужской,22.0,Одинцово,Неизвестно,Неизвестно
